county,fips,state_id,state_name,population,ppercentage
Polk County,27119,MN,Minnesota,31521,9.51E-05
Washington County,23029,ME,Maine,31491,9.50E-05
Franklin County,1059,AL,Alabama,31466,9.49E-05
Ottawa County,40115,OK,Oklahoma,31454,9.49E-05
Jefferson Davis Parish,22053,LA,Louisiana,31441,9.49E-05
Hardin County,39065,OH,Ohio,31425,9.48E-05
Wabash County,18169,IN,Indiana,31389,9.47E-05
Pickens County,13227,GA,Georgia,31387,9.47E-05
Knox County,21121,KY,Kentucky,31365,9.46E-05
Petersburg City,51730,VA,Virginia,31362,9.46E-05
Huron County,26063,MI,Michigan,31349,9.46E-05
Williamsburg County,45089,SC,South Carolina,31324,9.45E-05
Marion County,45067,SC,South Carolina,31308,9.45E-05
Marshall County,54051,WV,West Virginia,31308,9.45E-05
Jefferson County,53031,WA,Washington,31285,9.44E-05
Adams County,28001,MS,Mississippi,31266,9.43E-05
Schoharie County,36095,NY,New York,31222,9.42E-05
Marshall County,21157,KY,Kentucky,31192,9.41E-05
Stark County,38089,ND,North Dakota,31081,9.38E-05
Kleberg County,48273,TX,Texas,30974,9.35E-05
Muhlenberg County,21177,KY,Kentucky,30951,9.34E-05
Morton County,38059,ND,North Dakota,30868,9.31E-05
Lassen County,6035,CA,California,30818,9.30E-05
Smyth County,51173,VA,Virginia,30767,9.28E-05
Mecklenburg County,51117,VA,Virginia,30728,9.27E-05
Dillon County,45033,SC,South Carolina,30689,9.26E-05
Clare County,26035,MI,Michigan,30651,9.25E-05
Summit County,8117,CO,Colorado,30649,9.25E-05
Vernon County,55123,WI,Wisconsin,30633,9.24E-05
Delta County,8029,CO,Colorado,30565,9.22E-05
McDonough County,17109,IL,Illinois,30479,9.20E-05
Freeborn County,27047,MN,Minnesota,30463,9.19E-05
Gilmer County,13123,GA,Georgia,30414,9.18E-05
Malheur County,41045,OR,Oregon,30412,9.18E-05
Caroline County,51033,VA,Virginia,30381,9.17E-05
Obion County,47131,TN,Tennessee,30365,9.16E-05
Elk County,42047,PA,Pennsylvania,30340,9.15E-05
Caledonia County,50005,VT,Vermont,30234,9.12E-05
Sheridan County,56033,WY,Wyoming,30140,9.09E-05
Gallia County,39053,OH,Ohio,30088,9.08E-05
Sumter County,13261,GA,Georgia,30064,9.07E-05
Cass County,48067,TX,Texas,30059,9.07E-05
Dunklin County,29069,MO,Missouri,30027,9.06E-05
Lake County,30047,MT,Montana,30013,9.06E-05
Franklin County,23007,ME,Maine,29982,9.05E-05
Boyle County,21021,KY,Kentucky,29972,9.04E-05
Marion County,1093,AL,Alabama,29866,9.01E-05
Sanpete County,49039,UT,Utah,29850,9.01E-05
Carroll County,51035,VA,Virginia,29801,8.99E-05
Wayne County,13305,GA,Georgia,29788,8.99E-05
Austin County,48015,TX,Texas,29764,8.98E-05
Lee County,13177,GA,Georgia,29502,8.90E-05
Trempealeau County,55121,WI,Wisconsin,29499,8.90E-05
White County,13311,GA,Georgia,29489,8.90E-05
Hancock County,54029,WV,West Virginia,29383,8.87E-05
Stoddard County,29207,MO,Missouri,29377,8.86E-05
Neshoba County,28099,MS,Mississippi,29332,8.85E-05
Giles County,47055,TN,Tennessee,29285,8.84E-05
Cass County,27021,MN,Minnesota,29268,8.83E-05
Caddo County,40015,OK,Oklahoma,29242,8.82E-05
Garrett County,24023,MD,Maryland,29235,8.82E-05
Haralson County,13143,GA,Georgia,29227,8.82E-05
Pine County,27115,MN,Minnesota,29223,8.82E-05
Leflore County,28083,MS,Mississippi,29222,8.82E-05
Madison County,13195,GA,Georgia,29218,8.82E-05
Custer County,40039,OK,Oklahoma,29152,8.80E-05
Park County,56029,WY,Wyoming,29148,8.79E-05
Logan County,17107,IL,Illinois,29003,8.75E-05
Mason County,26105,MI,Michigan,28954,8.74E-05
Randolph County,54083,WV,West Virginia,28930,8.73E-05
Orange County,50017,VT,Vermont,28908,8.72E-05
Jackson County,54035,WV,West Virginia,28907,8.72E-05
Wythe County,51197,VA,Virginia,28844,8.70E-05
Montgomery County,17135,IL,Illinois,28828,8.70E-05
Powhatan County,51145,VA,Virginia,28815,8.69E-05
Ellis County,20051,KS,Kansas,28775,8.68E-05
Jasper County,45053,SC,South Carolina,28657,8.65E-05
Fredericksburg City,51630,VA,Virginia,28622,8.64E-05
Fayette County,39047,OH,Ohio,28620,8.63E-05
Marion County,29127,MO,Missouri,28608,8.63E-05
Jones County,13169,GA,Georgia,28579,8.62E-05
McPherson County,20113,KS,Kansas,28567,8.62E-05
Yazoo County,28163,MS,Mississippi,28565,8.62E-05
Palo Pinto County,48363,TX,Texas,28540,8.61E-05
Marion County,47115,TN,Tennessee,28538,8.61E-05
Jefferson County,16051,ID,Idaho,28534,8.61E-05
Alpena County,26007,MI,Michigan,28520,8.60E-05
Morgan County,8087,CO,Colorado,28517,8.60E-05
Union County,28145,MS,Mississippi,28507,8.60E-05
Copiah County,28029,MS,Mississippi,28501,8.60E-05
Dinwiddie County,51053,VA,Virginia,28485,8.59E-05
Tate County,28137,MS,Mississippi,28404,8.57E-05
Ripley County,18137,IN,Indiana,28391,8.57E-05
Hocking County,39073,OH,Ohio,28390,8.57E-05
Scott County,28123,MS,Mississippi,28332,8.55E-05
Van Wert County,39161,OH,Ohio,28261,8.53E-05
Le Sueur County,27079,MN,Minnesota,28242,8.52E-05
Baker County,12003,FL,Florida,28211,8.51E-05
Meade County,21163,KY,Kentucky,28182,8.50E-05
San Jacinto County,48407,TX,Texas,28180,8.50E-05
Codington County,46029,SD,South Dakota,28026,8.46E-05
Wells County,18179,IN,Indiana,28011,8.45E-05
